9	145	101
32	188	59
49	201	68
64	192	138
85	227	144
105	243	125
122	267	134
19	155	100
35	186	49
52	200	75
66	199	145
83	225	164
100	233	132
117	253	119
13	148	97
29	178	77
48	202	55
63	200	129
82	224	177
97	231	130
113	256	123
21	171	103
38	193	48
54	200	76
68	196	165
85	230	162
106	233	108
19	163	100
35	183	54
51	186	67
19	151	93
41	192	48
67	212	175
92	237	144
109	248	128
22	173	100
45	208	56
67	202	151
90	250	148
115	249	126
29	177	73
43	194	50
56	195	85
73	213	183
93	232	134
110	251	127
16	169	111
34	182	59
59	197	101
72	203	182
91	236	140
109	243	122
122	267	118
19	167	108
42	198	46
66	206	144
88	245	147
105	239	130
19	156	109
32	182	79
58	198	101
71	206	178
93	231	135
114	260	119
12	165	101
25	171	84
41	184	49
58	200	100
74	195	203
93	236	143
109	247	120
17	160	95
31	182	75
45	195	56
60	198	113
82	222	179
102	242	135
120	264	115
19	173	108
12	149	97
25	183	81
50	207	70
73	201	186
88	248	148
112	251	114
15	151	94
30	175	67
43	196	50
56	200	89
70	204	178
91	238	140
105	245	124
118	256	112
12	150	101
28	171	88
42	195	48
59	201	113
79	218	178
92	229	124
105	240	126
14	147	92
28	177	83
54	194	87
71	201	200
88	238	147
101	243	137
17	166	117
34	176	59
50	195	69
69	194	184
88	238	148
106	242	131
120	268	103
15	151	107
32	176	67
47	188	66
66	205	164
81	227	171
96	240	129
111	254	127
18	162	114
32	179	68
48	206	61
67	198	168
81	221	186
106	240	137
13	146	107
29	171	79
46	205	64
60	204	113
73	207	202
88	234	153
104	239	132
117	260	121
13	151	104
30	170	69
46	199	48
62	196	137
79	213	190
93	234	145
106	249	126
120	260	128
15	143	111
28	174	88
45	192	58
61	200	133
79	216	181
92	240	142
109	241	122
23	175	94
36	181	62
50	188	69
66	195	159
82	221	184
108	247	129
26	175	88
43	187	55
60	208	130
79	218	182
102	240	141
116	253	132
14	156	120
30	175	84
14	152	101
33	186	75
60	205	101
18	132	132
33	176	88
51	200	81
64	196	140
18	152	108
36	188	77
58	198	98
13	142	95
32	182	69
52	201	77
70	194	179
90	237	140
114	253	109
43	192	43
94	238	140
25	169	71
48	195	52
97	234	136
34	182	57
63	202	120
92	235	137
121	269	112
12	178	109
26	186	83
44	194	56
60	196	121
74	203	192
88	240	153
104	239	133
120	262	121
22	192	87
42	195	56
29	172	74
50	196	56
70	209	168
88	230	148
107	249	121
12	125	37
27	169	96
43	201	54
59	197	82
74	198	190
92	235	147
106	251	123
121	260	114
19	195	73
40	205	58
