5	280	227	23
126	343	78	25
177	302	81	17
263	301	104	11
174	297	82	13
294	314	108	16
171	299	78	13
273	304	126	9
43	370	154	20
75	370	119	18
189	344	240	56
189	328	74	11
270	306	124	16
271	304	126	10
324	286	30	23
243	327	104	7
226	335	103	8
321	291	39	14
273	291	116	10
263	302	112	17
116	332	73	18
177	305	72	15
285	310	137	16
179	305	67	17
252	321	108	17
84	340	54	12
321	296	39	13
34	292	113	16
129	341	73	13
240	349	100	19
79	338	55	17
17	306	107	23
212	354	87	27
294	317	106	12
304	300	61	12
84	348	50	12
246	336	95	11
232	345	103	14
328	291	41	15
157	300	60	13
68	312	71	19
266	309	107	17
219	345	94	16
187	301	61	19
36	297	206	52
253	328	247	10
199	365	242	11
270	308	301	9
237	343	108	6
307	297	65	14
167	291	67	6
251	319	112	5
196	334	77	7
268	301	110	23
178	299	67	19
58	273	80	18
180	299	71	22
325	280	30	25
286	302	142	75
314	296	38	23
213	339	90	20
152	315	68	17
15	299	121	6
39	252	128	9
299	309	81	22
303	314	68	12
291	315	111	10
132	339	77	12
305	315	68	11
215	348	94	11
94	327	59	11
221	348	97	56
22	302	110	22
173	295	71	32
15	309	111	21
131	344	71	21
