88	410	71	35
49	216	47	18
47	214	43	18
61	230	42	20
69	308	28	29
104	416	64	18
35	225	62	14
38	220	56	21
44	213	50	24
57	224	42	29
35	226	60	51
8	264	104	21
53	220	47	21
40	220	59	14
50	217	60	17
100	417	64	20
54	224	46	11
25	237	71	13
51	226	54	14
55	221	50	19
102	416	60	25
68	293	76	21
44	206	42	31
116	410	82	30
85	401	79	21
18	250	80	23
83	389	83	27
88	412	74	19
85	401	82	25
110	416	74	26
98	416	62	21
116	410	84	15
89	412	63	23
69	316	34	20
31	229	64	18
99	421	66	19
43	228	42	18
35	230	62	17
91	417	59	17
80	382	39	14
87	409	72	13
46	217	47	18
11	258	90	23
78	385	18	23
29	233	66	23
40	216	50	15
59	241	30	15
82	389	72	24
35	220	64	14
104	409	60	19
46	214	51	28
108	416	72	16
80	389	23	18
32	233	60	23
81	394	58	23
31	229	48	11
32	225	56	10
55	221	34	9
43	217	48	6
41	225	44	9
44	210	35	38
35	226	50	24
72	342	8	36
105	408	60	24
67	289	79	32
114	408	78	22
116	406	75	28
46	218	51	26
52	224	42	18
20	246	79	23
65	266	99	6
50	218	26	9
59	234	28	20
39	218	44	8
28	230	55	6
86	404	72	16
65	261	98	24
73	361	4	28
73	356	15	31
31	234	63	18
92	422	58	22
