917	509	343	27
71	288	292	11
74	294	295	16
1664	186	263	12
273	282	284	10
1338	278	262	9
1187	286	262	14
1604	189	256	11
1487	314	256	10
266	289	258	20
156	289	278	5
1258	273	274	7
1242	293	240	6
406	52	270	13
670	282	280	9
1577	188	254	13
842	297	278	8
35	292	280	6
1352	277	268	6
1466	296	242	13
456	286	263	12
1583	186	258	15
901	510	310	21
780	289	274	13
820	288	282	15
1197	284	247	17
1653	177	252	15
647	292	266	13
972	509	320	14
123	293	267	12
1330	277	251	14
388	29	215	16
1477	317	263	9
422	149	279	16
269	282	275	11
846	282	255	11
915	500	303	11
261	288	294	15
114	290	286	13
1132	276	258	26
551	285	267	13
485	282	270	12
49	284	266	9
229	289	271	13
1508	316	271	10
609	288	268	11
412	86	280	14
1380	280	252	15
743	282	274	13
1435	297	230	17
453	292	271	50
521	289	272	14
585	289	272	32
1023	481	364	34
1088	468	358	15
750	297	280	10
196	272	275	7
304	285	271	9
1359	270	262	7
1213	280	243	40
1308	276	240	14
558	290	258	16
150	286	271	16
430	217	264	16
1236	281	238	27
708	285	259	19
613	290	255	15
240	285	278	18
151	289	284	16
698	321	314	3
1577	172	232	9
248	298	264	8
554	306	244	5
1243	270	236	7
1136	281	228	7
1232	284	236	4
436	276	240	6
53	297	256	6
721	269	259	5
856	285	262	24
1045	506	306	41
794	285	262	20
952	509	307	14
1290	280	248	17
