9	212	157
23	217	136
38	232	128
52	230	147
66	206	142
82	209	130
97	207	118
110	209	159
123	212	149
138	232	159
153	244	152
168	240	150
182	238	149
195	225	149
209	216	151
223	221	179
247	195	174
269	218	162
284	187	158
299	172	128
315	155	127
330	144	130
348	176	137
363	153	142
379	172	142
393	162	149
410	158	154
425	171	145
440	156	133
456	172	122
22	214	141
56	228	145
87	202	130
111	204	153
169	238	143
189	228	139
226	213	162
271	223	162
285	198	151
304	174	134
322	160	129
335	147	126
352	175	138
367	152	142
385	166	147
401	172	126
416	159	156
432	164	134
450	154	120
468	172	135
486	160	150
509	172	124
529	153	122
552	159	134
592	196	126
19	217	153
40	226	136
61	197	145
81	216	132
96	204	124
112	208	155
137	235	155
153	240	154
17	216	141
33	227	132
49	234	126
67	211	136
85	200	116
111	213	146
124	215	139
150	243	147
184	231	129
204	225	134
244	197	160
258	216	169
284	199	137
302	180	122
318	155	116
9	216	171
26	228	146
42	233	138
61	196	147
81	213	135
95	217	123
108	218	156
124	227	154
138	232	162
151	245	165
165	243	157
180	236	148
195	224	149
209	224	152
222	216	168
236	215	184
253	223	187
271	219	170
286	204	167
299	180	142
315	164	131
334	147	150
347	175	151
363	159	152
376	172	144
390	171	164
407	171	146
424	160	154
441	159	139
458	176	135
475	171	142
496	168	147
513	176	136
527	148	132
542	144	137
555	160	139
585	209	135
17	227	139
31	228	148
46	232	143
63	208	153
83	216	136
104	219	152
119	212	154
139	242	163
158	247	158
174	244	154
190	228	139
204	225	143
218	216	157
234	220	182
254	214	174
269	221	158
284	194	161
300	180	134
317	165	132
333	147	129
350	187	144
365	154	146
381	176	150
399	186	132
416	157	162
429	181	134
446	155	129
461	175	139
474	165	150
488	162	164
504	177	130
519	165	122
533	146	122
550	159	142
578	233	94
591	194	137
14	223	148
30	231	137
46	232	130
59	204	148
75	209	151
90	232	103
103	218	144
119	207	154
136	215	159
149	248	166
162	240	153
178	246	146
191	228	145
206	224	151
222	216	171
236	215	187
249	202	182
264	223	170
278	218	165
296	186	147
24	211	150
43	226	135
65	206	148
93	215	124
107	227	170
124	212	157
147	248	160
163	246	152
179	246	151
196	227	140
20	228	142
42	233	134
62	205	146
94	215	109
119	212	146
17	231	132
41	232	122
64	210	122
93	212	101
118	213	143
142	237	143
166	250	134
188	232	118
213	219	128
238	208	166
13	200	142
29	204	145
45	211	135
59	196	143
78	228	139
92	200	107
108	211	174
127	210	154
145	242	154
161	238	145
21	227	141
42	229	123
62	203	130
82	208	132
104	202	148
36	220	144
59	193	150
77	251	136
90	208	106
104	219	161
120	206	142
135	232	162
149	242	159
164	230	148
179	232	143
